
*********************************************
* rtAttenPenn v.1.0
* Date/Time: 29-Jan-2018 16:45:51
* Seed: 214951.6456
* Subject Number: 100
* Subject Name: behav100
* Run Number: 2
* Use Button Box: 0
* rtData: 0
* debug: 0
*********************************************

run	block	bltyp	blcat	trial	onsdif	pulse	scat	fcat	simg	fimg	corresp	resp	acc	rt	file	load	catsep	attProp	smoothProp
2	1	stab	sc	1	0.008	0	1	4	21	32	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	1	stab	sc	2	0.010	0	1	4	25	3	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	1	stab	sc	3	0.008	0	1	4	37	34	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	1	stab	sc	4	0.010	0	1	4	40	31	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	1	stab	sc	5	0.008	0	1	4	23	16	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	1	stab	sc	6	0.010	0	1	4	39	24	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	1	stab	sc	7	0.008	0	1	4	12	41	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	1	stab	sc	8	0.010	0	1	4	29	29	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	1	stab	sc	9	0.008	0	1	4	18	37	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	1	stab	sc	10	0.010	0	1	3	5	30	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	1	stab	sc	11	0.009	0	1	4	19	26	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	1	stab	sc	12	0.010	0	1	4	34	14	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	1	stab	sc	13	0.009	0	1	4	36	19	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	1	stab	sc	14	0.010	0	1	4	2	5	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	1	stab	sc	15	-0.008	0	2	4	10	4	NaN	NaN	2	NaN	NaN	NaN	NaN	0.500	NaN
2	1	stab	sc	16	0.009	0	1	4	22	9	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	1	stab	sc	17	-0.008	0	1	4	9	38	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	1	stab	sc	18	0.009	0	1	4	27	22	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	1	stab	sc	19	0.009	0	1	4	45	10	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	1	stab	sc	20	0.011	0	1	4	24	35	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	1	stab	sc	21	0.009	0	1	3	41	5	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	1	stab	sc	22	0.011	0	1	4	11	1	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	1	stab	sc	23	-0.007	0	1	4	38	21	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	1	stab	sc	24	0.011	0	2	4	14	23	NaN	NaN	2	NaN	NaN	NaN	NaN	0.500	NaN
2	1	stab	sc	25	-0.007	0	1	4	14	28	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	1	stab	sc	26	0.010	0	1	3	13	11	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	1	stab	sc	27	-0.007	0	1	4	35	20	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	1	stab	sc	28	0.011	0	1	4	7	36	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	1	stab	sc	29	-0.007	0	1	4	28	7	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	1	stab	sc	30	0.011	0	2	4	19	42	NaN	NaN	2	NaN	NaN	NaN	NaN	0.500	NaN
2	1	stab	sc	31	-0.007	0	1	4	1	15	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	1	stab	sc	32	0.010	0	1	4	8	8	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	1	stab	sc	33	-0.007	0	1	4	15	33	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	1	stab	sc	34	0.010	0	1	4	44	18	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	1	stab	sc	35	-0.006	0	2	4	13	13	NaN	NaN	2	NaN	NaN	NaN	NaN	0.500	NaN
2	1	stab	sc	36	0.012	0	1	4	10	30	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	1	stab	sc	37	-0.006	0	1	4	33	12	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	1	stab	sc	38	-0.006	0	1	4	30	27	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	1	stab	sc	39	-0.006	0	1	3	20	7	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	1	stab	sc	40	-0.006	0	1	4	26	43	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	1	stab	sc	41	-0.006	0	1	4	17	45	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	1	stab	sc	42	-0.006	0	2	4	40	44	NaN	NaN	2	NaN	NaN	NaN	NaN	0.500	NaN
2	1	stab	sc	43	-0.006	0	1	4	16	39	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	1	stab	sc	44	-0.006	0	1	4	4	6	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	1	stab	sc	45	-0.006	0	1	4	42	40	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	1	stab	sc	46	-0.006	0	1	3	31	42	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	1	stab	sc	47	-0.006	0	1	4	43	17	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	1	stab	sc	48	-0.005	0	1	4	6	2	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	1	stab	sc	49	-0.005	0	1	4	3	25	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	1	stab	sc	50	-0.005	0	1	4	32	11	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	2	stab	fa	1	-0.005	0	1	4	11	37	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	2	stab	fa	2	-0.005	0	1	4	26	6	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	2	stab	fa	3	-0.005	0	1	4	3	35	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	2	stab	fa	4	-0.005	0	1	4	16	41	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	2	stab	fa	5	-0.005	0	1	4	25	32	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	2	stab	fa	6	-0.005	0	1	4	2	28	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
