Run,Block,Trial,Fixation,Condition,corr_ans,corr_ans_Left,Correct_Answer_Side,top_image,left_image,right_image
B,1,1,0,Fearful,1,9,L,stimuli/fear/M_rad/fear_rad_m_07.jpg,stimuli/fear/M_rad/fear_rad_m_07.jpg,stimuli/fear/M_rad/fear_rad_m_49.jpg
B,1,2,0,Fearful,2,8,R,stimuli/fear/M_rad/fear_rad_m_05.jpg,stimuli/fear/M_rad/fear_rad_m_71.jpg,stimuli/fear/M_rad/fear_rad_m_05.jpg
B,1,3,0,Fearful,2,8,R,stimuli/fear/F_rad/fear_rad_f_32.jpg,stimuli/fear/F_rad/fear_rad_f_14.jpg,stimuli/fear/F_rad/fear_rad_f_32.jpg
B,1,4,0,Fearful,2,8,R,stimuli/fear/F_rad/fear_rad_f_31.jpg,stimuli/fear/F_rad/fear_rad_f_02.jpg,stimuli/fear/F_rad/fear_rad_f_31.jpg
B,1,5,0,Fearful,1,9,L,stimuli/fear/M_rad/fear_rad_m_24.jpg,stimuli/fear/M_rad/fear_rad_m_24.jpg,stimuli/fear/M_rad/fear_rad_m_30.jpg
B,1,6,0,Fearful,1,9,L,stimuli/fear/F_rad/fear_rad_f_18.jpg,stimuli/fear/F_rad/fear_rad_f_18.jpg,stimuli/fear/F_rad/fear_rad_f_56.jpg
B,1,7,0,Object,1,9,L,stimuli/objects/object_09.jpg,stimuli/objects/object_09.jpg,stimuli/objects/object_27.jpg
B,1,8,0,Object,2,8,R,stimuli/objects/object_14.jpg,stimuli/objects/object_21.jpg,stimuli/objects/object_14.jpg
B,1,9,0,Object,2,8,R,stimuli/objects/object_31.jpg,stimuli/objects/object_26.jpg,stimuli/objects/object_31.jpg
B,1,10,0,Object,1,9,L,stimuli/objects/object_33.jpg,stimuli/objects/object_33.jpg,stimuli/objects/object_03.jpg
B,1,11,0,Object,2,8,R,stimuli/objects/object_05.jpg,stimuli/objects/object_07.jpg,stimuli/objects/object_05.jpg
B,1,12,0,Object,1,9,L,stimuli/objects/object_29.jpg,stimuli/objects/object_29.jpg,stimuli/objects/object_02.jpg
B,1,13,0,Happy,2,8,R,stimuli/happy/F_rad/happy_rad_f_02.jpg,stimuli/happy/F_rad/happy_rad_f_19.jpg,stimuli/happy/F_rad/happy_rad_f_02.jpg
B,1,14,0,Happy,1,9,L,stimuli/happy/M_rad/happy_rad_m_33.jpg,stimuli/happy/M_rad/happy_rad_m_33.jpg,stimuli/happy/M_rad/happy_rad_m_36.jpg
B,1,15,0,Happy,1,9,L,stimuli/happy/F_rad/happy_rad_f_31.jpg,stimuli/happy/F_rad/happy_rad_f_31.jpg,stimuli/happy/F_rad/happy_rad_f_56.jpg
B,1,16,0,Happy,2,8,R,stimuli/happy/F_rad/happy_rad_f_57.jpg,stimuli/happy/F_rad/happy_rad_f_37.jpg,stimuli/happy/F_rad/happy_rad_f_57.jpg
B,1,17,0,Happy,1,9,L,stimuli/happy/M_rad/happy_rad_m_49.jpg,stimuli/happy/M_rad/happy_rad_m_49.jpg,stimuli/happy/M_rad/happy_rad_m_05.jpg
B,1,18,0,Happy,2,8,R,stimuli/happy/M_rad/happy_rad_m_07.jpg,stimuli/happy/M_rad/happy_rad_m_15.jpg,stimuli/happy/M_rad/happy_rad_m_07.jpg
B,1,19,0,Neutral,2,8,R,stimuli/neutral/M_rad/neutral_rad_m_33.jpg,stimuli/neutral/M_rad/neutral_rad_m_28.jpg,stimuli/neutral/M_rad/neutral_rad_m_33.jpg
B,1,20,0,Neutral,1,9,L,stimuli/neutral/F_rad/neutral_rad_f_19.jpg,stimuli/neutral/F_rad/neutral_rad_f_19.jpg,stimuli/neutral/F_rad/neutral_rad_f_18.jpg
B,1,21,0,Neutral,1,9,L,stimuli/neutral/M_rad/neutral_rad_m_38.jpg,stimuli/neutral/M_rad/neutral_rad_m_38.jpg,stimuli/neutral/M_rad/neutral_rad_m_24.jpg
B,1,22,0,Neutral,2,8,R,stimuli/neutral/F_rad/neutral_rad_f_14.jpg,stimuli/neutral/F_rad/neutral_rad_f_02.jpg,stimuli/neutral/F_rad/neutral_rad_f_14.jpg
B,1,23,0,Neutral,1,9,L,stimuli/neutral/M_rad/neutral_rad_m_30.jpg,stimuli/neutral/M_rad/neutral_rad_m_30.jpg,stimuli/neutral/M_rad/neutral_rad_m_21.jpg
B,1,24,0,Neutral,2,8,R,stimuli/neutral/F_rad/neutral_rad_f_12.jpg,stimuli/neutral/F_rad/neutral_rad_f_32.jpg,stimuli/neutral/F_rad/neutral_rad_f_12.jpg
B,1,25,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
B,1,26,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
B,1,27,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
B,1,28,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
B,1,29,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
B,1,30,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
B,2,31,0,Happy,2,8,R,stimuli/happy/F_rad/happy_rad_f_61.jpg,stimuli/happy/F_rad/happy_rad_f_18.jpg,stimuli/happy/F_rad/happy_rad_f_61.jpg
B,2,32,0,Happy,2,8,R,stimuli/happy/F_rad/happy_rad_f_58.jpg,stimuli/happy/F_rad/happy_rad_f_01.jpg,stimuli/happy/F_rad/happy_rad_f_58.jpg
B,2,33,0,Happy,1,9,L,stimuli/happy/F_rad/happy_rad_f_27.jpg,stimuli/happy/F_rad/happy_rad_f_27.jpg,stimuli/happy/F_rad/happy_rad_f_04.jpg
B,2,34,0,Happy,2,8,R,stimuli/happy/M_rad/happy_rad_m_28.jpg,stimuli/happy/M_rad/happy_rad_m_38.jpg,stimuli/happy/M_rad/happy_rad_m_28.jpg
B,2,35,0,Happy,1,9,L,stimuli/happy/M_rad/happy_rad_m_21.jpg,stimuli/happy/M_rad/happy_rad_m_21.jpg,stimuli/happy/M_rad/happy_rad_m_10.jpg
B,2,36,0,Happy,1,9,L,stimuli/happy/M_rad/happy_rad_m_25.jpg,stimuli/happy/M_rad/happy_rad_m_25.jpg,stimuli/happy/M_rad/happy_rad_m_71.jpg
B,2,37,0,Object,2,8,R,stimuli/objects/object_13.jpg,stimuli/objects/object_12.jpg,stimuli/objects/object_13.jpg
B,2,38,0,Object,1,9,L,stimuli/objects/object_17.jpg,stimuli/objects/object_17.jpg,stimuli/objects/object_01.jpg
B,2,39,0,Object,2,8,R,stimuli/objects/object_34.jpg,stimuli/objects/object_25.jpg,stimuli/objects/object_34.jpg
B,2,40,0,Object,1,9,L,stimuli/objects/object_15.jpg,stimuli/objects/object_15.jpg,stimuli/objects/object_11.jpg
B,2,41,0,Object,1,9,L,stimuli/objects/object_30.jpg,stimuli/objects/object_30.jpg,stimuli/objects/object_24.jpg
B,2,42,0,Object,2,8,R,stimuli/objects/object_18.jpg,stimuli/objects/object_32.jpg,stimuli/objects/object_18.jpg
B,2,43,0,Neutral,2,8,R,stimuli/neutral/M_rad/neutral_rad_m_36.jpg,stimuli/neutral/M_rad/neutral_rad_m_23.jpg,stimuli/neutral/M_rad/neutral_rad_m_36.jpg
B,2,44,0,Neutral,1,9,L,stimuli/neutral/F_rad/neutral_rad_f_37.jpg,stimuli/neutral/F_rad/neutral_rad_f_37.jpg,stimuli/neutral/F_rad/neutral_rad_f_04.jpg
B,2,45,0,Neutral,2,8,R,stimuli/neutral/M_rad/neutral_rad_m_07.jpg,stimuli/neutral/M_rad/neutral_rad_m_71.jpg,stimuli/neutral/M_rad/neutral_rad_m_07.jpg
B,2,46,0,Neutral,1,9,L,stimuli/neutral/M_rad/neutral_rad_m_15.jpg,stimuli/neutral/M_rad/neutral_rad_m_15.jpg,stimuli/neutral/M_rad/neutral_rad_m_05.jpg
B,2,47,0,Neutral,2,8,R,stimuli/neutral/F_rad/neutral_rad_f_26.jpg,stimuli/neutral/F_rad/neutral_rad_f_27.jpg,stimuli/neutral/F_rad/neutral_rad_f_26.jpg
B,2,48,0,Neutral,1,9,L,stimuli/neutral/F_rad/neutral_rad_f_16.jpg,stimuli/neutral/F_rad/neutral_rad_f_16.jpg,stimuli/neutral/F_rad/neutral_rad_f_08.jpg
B,2,49,0,Fearful,1,9,L,stimuli/fear/F_rad/fear_rad_f_58.jpg,stimuli/fear/F_rad/fear_rad_f_58.jpg,stimuli/fear/F_rad/fear_rad_f_26.jpg
B,2,50,0,Fearful,2,8,R,stimuli/fear/M_rad/fear_rad_m_09.jpg,stimuli/fear/M_rad/fear_rad_m_15.jpg,stimuli/fear/M_rad/fear_rad_m_09.jpg
B,2,51,0,Fearful,2,8,R,stimuli/fear/M_rad/fear_rad_m_10.jpg,stimuli/fear/M_rad/fear_rad_m_23.jpg,stimuli/fear/M_rad/fear_rad_m_10.jpg
B,2,52,0,Fearful,1,9,L,stimuli/fear/F_rad/fear_rad_f_19.jpg,stimuli/fear/F_rad/fear_rad_f_19.jpg,stimuli/fear/F_rad/fear_rad_f_04.jpg
B,2,53,0,Fearful,1,9,L,stimuli/fear/F_rad/fear_rad_f_27.jpg,stimuli/fear/F_rad/fear_rad_f_27.jpg,stimuli/fear/F_rad/fear_rad_f_12.jpg
B,2,54,0,Fearful,2,8,R,stimuli/fear/M_rad/fear_rad_m_33.jpg,stimuli/fear/M_rad/fear_rad_m_36.jpg,stimuli/fear/M_rad/fear_rad_m_33.jpg
B,2,55,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
B,2,56,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
B,2,57,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
B,2,58,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
B,2,59,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
B,2,60,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
B,3,61,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
B,3,62,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
B,3,63,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
B,3,64,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
B,3,65,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
B,3,66,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
B,3,67,0,Happy,1,9,L,stimuli/happy/F_rad/happy_rad_f_26.jpg,stimuli/happy/F_rad/happy_rad_f_26.jpg,stimuli/happy/F_rad/happy_rad_f_08.jpg
B,3,68,0,Happy,2,8,R,stimuli/happy/M_rad/happy_rad_m_24.jpg,stimuli/happy/M_rad/happy_rad_m_20.jpg,stimuli/happy/M_rad/happy_rad_m_24.jpg
B,3,69,0,Happy,1,9,L,stimuli/happy/M_rad/happy_rad_m_30.jpg,stimuli/happy/M_rad/happy_rad_m_30.jpg,stimuli/happy/M_rad/happy_rad_m_23.jpg
B,3,70,0,Happy,1,9,L,stimuli/happy/M_rad/happy_rad_m_03.jpg,stimuli/happy/M_rad/happy_rad_m_03.jpg,stimuli/happy/M_rad/happy_rad_m_09.jpg
B,3,71,0,Happy,2,8,R,stimuli/happy/F_rad/happy_rad_f_16.jpg,stimuli/happy/F_rad/happy_rad_f_12.jpg,stimuli/happy/F_rad/happy_rad_f_16.jpg
B,3,72,0,Happy,2,8,R,stimuli/happy/F_rad/happy_rad_f_32.jpg,stimuli/happy/F_rad/happy_rad_f_14.jpg,stimuli/happy/F_rad/happy_rad_f_32.jpg
B,3,73,0,Fearful,1,9,L,stimuli/fear/M_rad/fear_rad_m_03.jpg,stimuli/fear/M_rad/fear_rad_m_03.jpg,stimuli/fear/M_rad/fear_rad_m_21.jpg
B,3,74,0,Fearful,1,9,L,stimuli/fear/F_rad/fear_rad_f_01.jpg,stimuli/fear/F_rad/fear_rad_f_01.jpg,stimuli/fear/F_rad/fear_rad_f_61.jpg
B,3,75,0,Fearful,2,8,R,stimuli/fear/M_rad/fear_rad_m_28.jpg,stimuli/fear/M_rad/fear_rad_m_25.jpg,stimuli/fear/M_rad/fear_rad_m_28.jpg
B,3,76,0,Fearful,1,9,L,stimuli/fear/F_rad/fear_rad_f_57.jpg,stimuli/fear/F_rad/fear_rad_f_57.jpg,stimuli/fear/F_rad/fear_rad_f_16.jpg
B,3,77,0,Fearful,2,8,R,stimuli/fear/M_rad/fear_rad_m_20.jpg,stimuli/fear/M_rad/fear_rad_m_38.jpg,stimuli/fear/M_rad/fear_rad_m_20.jpg
B,3,78,0,Fearful,2,8,R,stimuli/fear/F_rad/fear_rad_f_08.jpg,stimuli/fear/F_rad/fear_rad_f_37.jpg,stimuli/fear/F_rad/fear_rad_f_08.jpg
B,3,79,0,Object,2,8,R,stimuli/objects/object_23.jpg,stimuli/objects/object_08.jpg,stimuli/objects/object_23.jpg
B,3,80,0,Object,1,9,L,stimuli/objects/object_16.jpg,stimuli/objects/object_16.jpg,stimuli/objects/object_06.jpg
B,3,81,0,Object,1,9,L,stimuli/objects/object_04.jpg,stimuli/objects/object_04.jpg,stimuli/objects/object_35.jpg
B,3,82,0,Object,1,9,L,stimuli/objects/object_10.jpg,stimuli/objects/object_10.jpg,stimuli/objects/object_28.jpg
B,3,83,0,Object,2,8,R,stimuli/objects/object_20.jpg,stimuli/objects/object_22.jpg,stimuli/objects/object_20.jpg
B,3,84,0,Object,2,8,R,stimuli/objects/object_36.jpg,stimuli/objects/object_19.jpg,stimuli/objects/object_36.jpg
B,3,85,0,Neutral,2,8,R,stimuli/neutral/M_rad/neutral_rad_m_03.jpg,stimuli/neutral/M_rad/neutral_rad_m_49.jpg,stimuli/neutral/M_rad/neutral_rad_m_03.jpg
B,3,86,0,Neutral,2,8,R,stimuli/neutral/M_rad/neutral_rad_m_20.jpg,stimuli/neutral/M_rad/neutral_rad_m_09.jpg,stimuli/neutral/M_rad/neutral_rad_m_20.jpg
B,3,87,0,Neutral,1,9,L,stimuli/neutral/F_rad/neutral_rad_f_58.jpg,stimuli/neutral/F_rad/neutral_rad_f_58.jpg,stimuli/neutral/F_rad/neutral_rad_f_61.jpg
B,3,88,0,Neutral,1,9,L,stimuli/neutral/M_rad/neutral_rad_m_25.jpg,stimuli/neutral/M_rad/neutral_rad_m_25.jpg,stimuli/neutral/M_rad/neutral_rad_m_10.jpg
