Run,Block,Trial,Fixation,Condition,corr_ans,corr_ans_Left,Correct_Answer_Side,top_image,left_image,right_image
B,1,91,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
B,1,92,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
B,1,93,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
B,1,94,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
B,1,95,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
B,1,96,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
B,1,97,0,Happy,2,8,R,stimuli/happy/F_nim/happy_nim_f_14.jpg,stimuli/happy/F_nim/happy_nim_f_15.jpg,stimuli/happy/F_nim/happy_nim_f_14.jpg
B,1,98,0,Happy,1,9,L,stimuli/happy/M_nim/happy_nim_m_27.jpg,stimuli/happy/M_nim/happy_nim_m_27.jpg,stimuli/happy/M_nim/happy_nim_m_36.jpg
B,1,99,0,Happy,1,9,L,stimuli/happy/M_nim/happy_nim_m_23.jpg,stimuli/happy/M_nim/happy_nim_m_23.jpg,stimuli/happy/M_nim/happy_nim_m_20.jpg
B,1,100,0,Happy,2,8,R,stimuli/happy/F_nim/happy_nim_f_02.jpg,stimuli/happy/F_nim/happy_nim_f_01.jpg,stimuli/happy/F_nim/happy_nim_f_02.jpg
B,1,101,0,Happy,1,9,L,stimuli/happy/F_nim/happy_nim_f_09.jpg,stimuli/happy/F_nim/happy_nim_f_09.jpg,stimuli/happy/F_nim/happy_nim_f_00.jpg
B,1,102,0,Happy,2,8,R,stimuli/happy/M_nim/happy_nim_m_30.jpg,stimuli/happy/M_nim/happy_nim_m_26.jpg,stimuli/happy/M_nim/happy_nim_m_30.jpg
B,1,103,0,Object,2,8,R,stimuli/objects/object_64.jpg,stimuli/objects/object_55.jpg,stimuli/objects/object_64.jpg
B,1,104,0,Object,2,8,R,stimuli/objects/object_66.jpg,stimuli/objects/object_57.jpg,stimuli/objects/object_66.jpg
B,1,105,0,Object,1,9,L,stimuli/objects/object_39.jpg,stimuli/objects/object_39.jpg,stimuli/objects/object_48.jpg
B,1,106,0,Object,2,8,R,stimuli/objects/object_65.jpg,stimuli/objects/object_56.jpg,stimuli/objects/object_65.jpg
B,1,107,0,Object,1,9,L,stimuli/objects/object_37.jpg,stimuli/objects/object_37.jpg,stimuli/objects/object_46.jpg
B,1,108,0,Object,1,9,L,stimuli/objects/object_38.jpg,stimuli/objects/object_38.jpg,stimuli/objects/object_47.jpg
B,1,109,0,Neutral,1,9,L,stimuli/neutral/M_nim/neutral_nim_m_26.jpg,stimuli/neutral/M_nim/neutral_nim_m_26.jpg,stimuli/neutral/M_nim/neutral_nim_m_20.jpg
B,1,110,0,Neutral,2,8,R,stimuli/neutral/F_nim/neutral_nim_f_13.jpg,stimuli/neutral/F_nim/neutral_nim_f_09.jpg,stimuli/neutral/F_nim/neutral_nim_f_13.jpg
B,1,111,0,Neutral,2,8,R,stimuli/neutral/F_nim/neutral_nim_f_10.jpg,stimuli/neutral/F_nim/neutral_nim_f_08.jpg,stimuli/neutral/F_nim/neutral_nim_f_10.jpg
B,1,112,0,Neutral,1,9,L,stimuli/neutral/M_nim/neutral_nim_m_31.jpg,stimuli/neutral/M_nim/neutral_nim_m_31.jpg,stimuli/neutral/M_nim/neutral_nim_m_24.jpg
B,1,113,0,Neutral,2,8,R,stimuli/neutral/F_nim/neutral_nim_f_17.jpg,stimuli/neutral/F_nim/neutral_nim_f_14.jpg,stimuli/neutral/F_nim/neutral_nim_f_17.jpg
B,1,114,0,Neutral,1,9,L,stimuli/neutral/M_nim/neutral_nim_m_38.jpg,stimuli/neutral/M_nim/neutral_nim_m_38.jpg,stimuli/neutral/M_nim/neutral_nim_m_32.jpg
B,1,115,0,Fearful,2,8,R,stimuli/fear/M_nim/fear_nim_m_36.jpg,stimuli/fear/M_nim/fear_nim_m_21.jpg,stimuli/fear/M_nim/fear_nim_m_36.jpg
B,1,116,0,Fearful,1,9,L,stimuli/fear/F_nim/fear_nim_f_16.jpg,stimuli/fear/F_nim/fear_nim_f_16.jpg,stimuli/fear/F_nim/fear_nim_f_05.jpg
B,1,117,0,Fearful,1,9,L,stimuli/fear/M_nim/fear_nim_m_26.jpg,stimuli/fear/M_nim/fear_nim_m_26.jpg,stimuli/fear/M_nim/fear_nim_m_32.jpg
B,1,118,0,Fearful,2,8,R,stimuli/fear/F_nim/fear_nim_f_12.jpg,stimuli/fear/F_nim/fear_nim_f_11.jpg,stimuli/fear/F_nim/fear_nim_f_12.jpg
B,1,119,0,Fearful,1,9,L,stimuli/fear/M_nim/fear_nim_m_22.jpg,stimuli/fear/M_nim/fear_nim_m_22.jpg,stimuli/fear/M_nim/fear_nim_m_28.jpg
B,1,120,0,Fearful,2,8,R,stimuli/fear/F_nim/fear_nim_f_02.jpg,stimuli/fear/F_nim/fear_nim_f_07.jpg,stimuli/fear/F_nim/fear_nim_f_02.jpg
B,2,121,0,Object,2,8,R,stimuli/objects/object_67.jpg,stimuli/objects/object_58.jpg,stimuli/objects/object_67.jpg
B,2,122,0,Object,2,8,R,stimuli/objects/object_68.jpg,stimuli/objects/object_59.jpg,stimuli/objects/object_68.jpg
B,2,123,0,Object,1,9,L,stimuli/objects/object_42.jpg,stimuli/objects/object_42.jpg,stimuli/objects/object_51.jpg
B,2,124,0,Object,2,8,R,stimuli/objects/object_69.jpg,stimuli/objects/object_60.jpg,stimuli/objects/object_69.jpg
B,2,125,0,Object,1,9,L,stimuli/objects/object_41.jpg,stimuli/objects/object_41.jpg,stimuli/objects/object_50.jpg
B,2,126,0,Object,1,9,L,stimuli/objects/object_40.jpg,stimuli/objects/object_40.jpg,stimuli/objects/object_49.jpg
B,2,127,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
B,2,128,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
B,2,129,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
B,2,130,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
B,2,131,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
B,2,132,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
B,2,133,0,Fearful,2,8,R,stimuli/fear/F_nim/fear_nim_f_18.jpg,stimuli/fear/F_nim/fear_nim_f_01.jpg,stimuli/fear/F_nim/fear_nim_f_18.jpg
B,2,134,0,Fearful,1,9,L,stimuli/fear/M_nim/fear_nim_m_29.jpg,stimuli/fear/M_nim/fear_nim_m_29.jpg,stimuli/fear/M_nim/fear_nim_m_24.jpg
B,2,135,0,Fearful,1,9,L,stimuli/fear/F_nim/fear_nim_f_14.jpg,stimuli/fear/F_nim/fear_nim_f_14.jpg,stimuli/fear/F_nim/fear_nim_f_00.jpg
B,2,136,0,Fearful,2,8,R,stimuli/fear/M_nim/fear_nim_m_20.jpg,stimuli/fear/M_nim/fear_nim_m_35.jpg,stimuli/fear/M_nim/fear_nim_m_20.jpg
B,2,137,0,Fearful,1,9,L,stimuli/fear/M_nim/fear_nim_m_31.jpg,stimuli/fear/M_nim/fear_nim_m_31.jpg,stimuli/fear/M_nim/fear_nim_m_23.jpg
B,2,138,0,Fearful,2,8,R,stimuli/fear/F_nim/fear_nim_f_10.jpg,stimuli/fear/F_nim/fear_nim_f_09.jpg,stimuli/fear/F_nim/fear_nim_f_10.jpg
B,2,139,0,Happy,2,8,R,stimuli/happy/M_nim/happy_nim_m_37.jpg,stimuli/happy/M_nim/happy_nim_m_35.jpg,stimuli/happy/M_nim/happy_nim_m_37.jpg
B,2,140,0,Happy,2,8,R,stimuli/happy/M_nim/happy_nim_m_21.jpg,stimuli/happy/M_nim/happy_nim_m_32.jpg,stimuli/happy/M_nim/happy_nim_m_21.jpg
B,2,141,0,Happy,1,9,L,stimuli/happy/F_nim/happy_nim_f_03.jpg,stimuli/happy/F_nim/happy_nim_f_03.jpg,stimuli/happy/F_nim/happy_nim_f_11.jpg
B,2,142,0,Happy,2,8,R,stimuli/happy/F_nim/happy_nim_f_12.jpg,stimuli/happy/F_nim/happy_nim_f_16.jpg,stimuli/happy/F_nim/happy_nim_f_12.jpg
B,2,143,0,Happy,1,9,L,stimuli/happy/M_nim/happy_nim_m_38.jpg,stimuli/happy/M_nim/happy_nim_m_38.jpg,stimuli/happy/M_nim/happy_nim_m_29.jpg
B,2,144,0,Happy,1,9,L,stimuli/happy/F_nim/happy_nim_f_10.jpg,stimuli/happy/F_nim/happy_nim_f_10.jpg,stimuli/happy/F_nim/happy_nim_f_08.jpg
B,2,145,0,Neutral,1,9,L,stimuli/neutral/F_nim/neutral_nim_f_00.jpg,stimuli/neutral/F_nim/neutral_nim_f_00.jpg,stimuli/neutral/F_nim/neutral_nim_f_15.jpg
B,2,146,0,Neutral,2,8,R,stimuli/neutral/M_nim/neutral_nim_m_35.jpg,stimuli/neutral/M_nim/neutral_nim_m_34.jpg,stimuli/neutral/M_nim/neutral_nim_m_35.jpg
